period,Barton Pond,CityHall,Jackson,N Campus Pump Station,S Industrial
2014/8/16,,0.09,0.05,0.06,0.04
2014/8/17,,0.43,0.4,0.61,0.44
2014/8/18,,0,0,0,0
2014/8/19,,0.54,0.62,0.54,0.8
2014/8/20,,0,0.01,0,0
2014/8/21,,0.07,0.05,0.06,0.08
2014/8/22,,0,0,0,0
2014/8/23,,0,0.01,0,0
2014/8/24,,0,0,0.04,0
2014/8/25,,0,0,0,0
2014/8/26,,0.72,0.93,0.68,0.5
2014/8/27,,0,0,0.03,0.02
2014/8/28,,0,0,0,0
2014/8/29,,0,0,0,0
2014/8/30,,0.14,0.21,0.15,0.23
2014/8/31,,0.05,0.08,0.05,0.14
2014/9/1,,0.68,0.5,0.85,0.36
2014/9/2,,0,0,0,0
2014/9/3,,0,0,0,0
2014/9/4,,0.02,0.37,0.05,0.24
2014/9/5,,0.03,0.15,0.05,0.27
2014/9/6,,0.04,0.05,0.05,0.04
2014/9/7,,0,0,0,0
2014/9/8,,0,0,0,0
2014/9/9,,0,0,0.01,0
2014/9/10,,1.44,1.25,1.59,1.35
2014/9/11,,0,0,0.01,0
2014/9/12,,0,0,0,0
2014/9/13,,0.27,0.25,0.27,0.23
2014/9/14,,0,0,0,0
2014/9/15,,0,0,0,0
2014/9/16,,0,0,0,0
2014/9/17,,0,0,0,0
2014/9/18,,0,0,0,0
2014/9/19,,0,0,0,0
2014/9/20,,0.94,1.17,1.15,0.96
2014/9/21,,0.34,0.38,0.31,0.26
2014/9/22,,0,0,0,0
2014/9/23,,0,0,0,0
2014/9/24,,0,0,0,0
2014/9/25,,0,0,0,0
2014/9/26,,0,0,0,0
2014/9/27,,0,0,0.01,0
2014/9/28,,0,0,0,0
2014/9/29,,0,0,0,0
2014/9/30,,0.12,0.15,0.11,0.08
2014/10/1,,0,0,0,0
2014/10/2,,0.09,0.15,0.16,0.23
2014/10/3,,0.5,0.25,0.45,0.46
2014/10/4,,0.14,0.16,0.19,0.12
2014/10/5,,0.02,0.02,0.02,0.01
2014/10/6,,0,0,0,0
2014/10/7,,0,0.03,0.01,0.02
2014/10/8,,0.01,0,0,0
2014/10/9,,0,0,0,0
2014/10/10,,0,0,0,0
2014/10/11,,0,0,0,0
2014/10/12,,0,0,0,0
2014/10/13,,0.2,0.24,0.23,0.26
2014/10/14,,0.32,0.38,0.48,0.4
2014/10/15,,0.01,0,0.01,0.01
2014/10/16,,0.01,0.02,0.02,0.03
2014/10/17,,0.05,0.07,0.07,0.11
2014/10/18,,0,0,0.01,0
2014/10/19,,0,0,0,0
2014/10/20,,0.1,0.15,0.07,0.15
2014/10/21,,0,0.02,0,0
2014/10/22,,0,0,0,0
2014/10/23,,0,0,0,0
2014/10/24,,0,0,0.01,0
2014/10/25,,0,0,0,0
2014/10/26,,0,0,0,0
2014/10/27,,0,0,0,0.02
2014/10/28,,0.26,0.25,0.28,0.23
2014/10/29,,0,0,0,0
2014/10/30,,0,0.05,0,0.03
2014/10/31,,0.04,0.08,0.1,0.07
2014/11/1,,0,0,0,0
2014/11/2,,0,0,0,0
2014/11/3,,0,0,0,0
2014/11/4,,0.08,0.07,0.09,0.08
2014/11/5,,0,0,0,0
2014/11/6,,0.08,0.09,0.11,0.08
2014/11/7,,0,0,0,0
2014/11/8,,0.07,0.06,0.04,0.05
2014/11/9,,0,0,0,0
2014/11/10,,0,0,0,0
2014/11/11,,0.01,0.03,0.02,0.01
2014/11/12,,0,0,0,0
2014/11/13,,0,0,0,0
2014/11/14,,0,0,0,0
2014/11/15,,0,0,0,0
2014/11/16,,0.01,0.02,0.03,0.03
2014/11/17,,0,0,0,0
2014/11/18,,0,0,0,0
2014/11/19,,0.01,0.01,0.02,0.01
2014/11/20,,0,0,0,0
2014/11/21,,0,0,0,0
2014/11/22,,0.02,0.02,0.03,0.05
2014/11/23,,0.85,0.9,1.03,0.79
2014/11/24,,0.54,0.52,0.59,0.53
2014/11/25,,0,0,0,0
2014/11/26,,0,0,0,0
2014/11/27,,0,0,0,0
2014/11/28,,0,0,0,0
2014/11/29,,0,0,0,0
2014/11/30,,0,0,0,0
2014/12/1,,0,0,0,0
2014/12/2,,0,0,0,0
2014/12/3,,0,0,0,0
2014/12/4,,0,0,0,0
2014/12/5,,0,0,0,0
2014/12/6,,0,0,0,0
2014/12/7,,0,0,0,0
2014/12/8,,0.08,0.09,0.1,0.07
2014/12/9,,0,0.01,0,0.01
2014/12/10,,0,0,0,0
2014/12/11,,0,0,0,0
2014/12/12,,0,0,0,0
2014/12/13,,0,0,0,0
2014/12/14,,0,0,0,0
2014/12/15,,0.1,0.16,0.15,0.1
2014/12/16,,0.32,0.38,0.4,0.24
2014/12/17,,0,0,0,0
2014/12/18,,0,0.02,0.02,0
2014/12/19,,0,0.01,0,0
2014/12/20,,0,0,0,0
2014/12/21,,0,0,0,0
2014/12/22,,0,0,0,0
2014/12/23,,0.05,0.06,0.05,0.03
2014/12/24,,0.86,0.81,0.91,0.85
2014/12/25,,0,0,0,0
2014/12/26,,0,0,0,0
2014/12/27,,0.02,0.02,0.03,0.02
2014/12/28,,0,0,0,0
2014/12/29,,0,0,0,0
2014/12/30,,0,0,0,0
2014/12/31,,0,0,0,0
2015/1/1,,0,0,0,0
2015/1/2,,0,0,0,0
2015/1/3,,0.45,0.44,0.52,0.41
2015/1/4,,0.02,0.06,0.05,0.07
2015/1/5,,0,0,0,0
2015/1/6,,0.01,0.04,0.03,0.04
2015/1/7,,0,0,0,0
2015/1/8,,0.01,0,0.03,0.01
2015/1/9,,0,0,0,0
2015/1/10,,0,0,0,0
2015/1/11,,0.03,0.05,0.09,0.06
2015/1/12,,0.03,0.06,0.06,0.05
2015/1/13,,0,0,0,0
2015/1/14,,0,0,0,0
2015/1/15,,0,0,0,0
2015/1/16,,0,0,0,0
2015/1/17,,0,0,0,0
2015/1/18,,0.02,0.02,0.03,0.02
2015/1/19,,0,0,0,0
2015/1/20,,0.02,0.02,0.01,0.01
2015/1/21,,0.05,0.08,0.03,0.04
2015/1/22,,0,0,0,0
2015/1/23,,0,0,0,0
2015/1/24,,0,0,0,0
2015/1/25,,0,0,0,0
2015/1/26,,0,0,0,0
2015/1/27,,0,0,0,0
2015/1/28,,0,0,0,0
2015/1/29,,0.01,0.03,0.02,0.02
2015/1/30,,0,0,0,0
2015/1/31,,0,0,0,0
2015/2/1,,0.48,0.7,0.11,0.19
2015/2/2,,0,0.03,0,0.02
2015/2/3,,0,0.01,0.01,0.01
2015/2/4,,0.02,0.04,0.04,0.05
2015/2/5,,0,0,0,0
2015/2/6,,0,0,0,0
2015/2/7,,0,0,0,0
2015/2/8,,0,0,0,0
2015/2/9,,0,0,0,0
2015/2/10,,0,0,0,0
2015/2/11,,0,0,0,0
2015/2/12,,0,0,0,0
2015/2/13,,0,0,0,0
2015/2/14,,0,0.01,0,0
2015/2/15,,0,0,0,0
2015/2/16,,0,0,0,0
2015/2/17,,0,0,0,0
2015/2/18,,0,0,0,0
2015/2/19,,0,0,0,0
2015/2/20,,0,0,0,0
2015/2/21,,0,0,0,0
